DEBUG: General     , 1642895384830> LoggerManager.init                  > Initializing...
LOG  : General     , 1642895385082> cachedir set to "C:\Users\Julian\Zomboid"
LOG  : General     , 1642895385112> 23-01-2022 00:49:45
LOG  : General     , 1642895385112> cachedir is "C:\Users\Julian\Zomboid"
LOG  : General     , 1642895385113> LogFileDir is "C:\Users\Julian\Zomboid\Logs"
LOG  : General     , 1642895385113> ===== System specs =====
LOG  : General     , 1642895385116> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1642895385117> Processor: Intel64 Family 6 Model 94 Stepping 3, GenuineIntel
LOG  : General     , 1642895385118> Processor cores: 8
LOG  : General     , 1642895385120> Available processors (cores): 8
LOG  : General     , 1642895385123> Memory free: 1706.0 MB
LOG  : General     , 1642895385124> Memory max: 2048.0 MB
LOG  : General     , 1642895385125> Memory  total available to JVM: 1800.0 MB
LOG  : General     , 1642895385131> C:\, Total: 232.26617 GB, Free: 31.27752 GB
LOG  : General     , 1642895385132> G:\, Total: 1863.0143 GB, Free: 345.45978 GB
LOG  : General     , 1642895385133> Y:\, Total: 3726.0215 GB, Free: 2290.0977 GB
LOG  : General     , 1642895385134> Z:\, Total: 55.898434 GB, Free: 51.989197 GB
LOG  : General     , 1642895385486> Mobo = [Product=MAXIMUS VIII GENE]
LOG  : General     , 1642895385697> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=4001,Name=Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz]
LOG  : General     , 1642895385891> Graphics = [AdapterRAM=4293918720,DriverVersion=30.0.14.7196,Name=NVIDIA GeForce GTX 1080 Ti]
LOG  : General     , 1642895386113> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1642895386326> Sound = { [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=Microsoft,Name=High Definition Audio Device] }
LOG  : General     , 1642895386505> Memory RAM = { [Capacity=17179869184,Manufacturer=Corsair], [Capacity=17179869184,Manufacturer=Corsair] }
LOG  : General     , 1642895386506> ========================
LOG  : General     , 1642895386507> -- listing properties --
LOG  : General     , 1642895386508> java.specification.version=15
LOG  : General     , 1642895386509> sun.cpu.isalist=amd64
LOG  : General     , 1642895386510> sun.jnu.encoding=Cp1252
LOG  : General     , 1642895386511> java.class.path=.;istack-commons-runtime.jar;jassimp....
LOG  : General     , 1642895386512> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1642895386513> sun.arch.data.model=64
LOG  : General     , 1642895386514> user.variant=
LOG  : General     , 1642895386514> java.vendor.url=http://www.azulsystems.com/
LOG  : General     , 1642895386515> user.timezone=Europe/Berlin
LOG  : General     , 1642895386515> zomboid.steam=1
LOG  : General     , 1642895386516> user.country.format=DE
LOG  : General     , 1642895386516> java.vm.specification.version=15
LOG  : General     , 1642895386517> os.name=Windows 10
LOG  : General     , 1642895386517> user.country=GB
LOG  : General     , 1642895386518> sun.boot.library.path=Y:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1642895386518> zomboid.znetlog=1
LOG  : General     , 1642895386519> jdk.debug=release
LOG  : General     , 1642895386520> sun.cpu.endian=little
LOG  : General     , 1642895386520> user.home=C:\Users\Julian
LOG  : General     , 1642895386521> user.language=en
LOG  : General     , 1642895386522> java.specification.vendor=Oracle Corporation
LOG  : General     , 1642895386523> java.version.date=2020-10-20
LOG  : General     , 1642895386524> java.home=Y:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1642895386524> file.separator=\
LOG  : General     , 1642895386526> line.separator=

LOG  : General     , 1642895386527> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1642895386528> java.specification.name=Java Platform API Specification
LOG  : General     , 1642895386529> java.awt.headless=true
LOG  : General     , 1642895386530> user.script=
LOG  : General     , 1642895386532> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1642895386533> java.runtime.version=15.0.1+9
LOG  : General     , 1642895386533> user.name=Julian
LOG  : General     , 1642895386534> path.separator=;
LOG  : General     , 1642895386535> os.version=10.0
LOG  : General     , 1642895386536> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1642895386537> file.encoding=UTF-8
LOG  : General     , 1642895386537> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1642895386538> java.vendor.version=Zulu15.28+51-CA
LOG  : General     , 1642895386538> java.vendor.url.bug=http://www.azulsystems.com/support/
LOG  : General     , 1642895386539> java.io.tmpdir=C:\Users\Julian\AppData\Local\Temp\
LOG  : General     , 1642895386539> java.version=15.0.1
LOG  : General     , 1642895386540> user.dir=Y:\SteamLibrary\steamapps\common\Proj...
LOG  : General     , 1642895386541> os.arch=amd64
LOG  : General     , 1642895386541> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1642895386542> sun.os.patch.level=
LOG  : General     , 1642895386543> java.library.path=win64/;.
LOG  : General     , 1642895386543> java.vm.info=mixed mode, sharing
LOG  : General     , 1642895386544> java.vendor=Azul Systems, Inc.
LOG  : General     , 1642895386544> java.vm.version=15.0.1+9
LOG  : General     , 1642895386545> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1642895386545> java.class.version=59.0
LOG  : General     , 1642895386545> -----
LOG  : General     , 1642895386546> versionNumber=41.65 demo=false
LOG  : General     , 1642895386546> svnRevision= date= time=
LOG  : General     , 1642895388850> LightingFPS set to 15
LOG  : General     , 1642895388894> [javafmodJNI] Init: Start
LOG  : General     , 1642895388895> [javafmodJNI] Init: WIN 64
LOG  : General     , 1642895389122> 1642895389119 fmod: Java loging: OK
LOG  : General     , 1642895389159> 1642895389159 fmod: System Create: OK
LOG  : General     , 1642895389186> 1642895389186 fmod: Create DSP for capture sound
LOG  : General     , 1642895390805> GraphicsCard: NVIDIA Corporation NVIDIA GeForce GTX 1080 Ti/PCIe/SSE2
LOG  : General     , 1642895390806> OpenGL version: 4.6.0 NVIDIA 471.96
LOG  : General     , 1642895390809> Desktop resolution 1920x1080
LOG  : General     , 1642895390815> Initial resolution 1920x1057 fullScreen=false
LOG  : General     , 1642895390892> OpenGL 1.5 buffer objects supported
LOG  : General     , 1642895390943> VSync: OFF
LOG  : General     , 1642895391674> NVIDIA: current available GPU memory is 8060 MB
LOG  : General     , 1642895391676> NVIDIA: dedicated available GPU memory is 11264 MB
LOG  : General     , 1642895391677> NVIDIA: total available GPU memory is 11264 MB
LOG  : General     , 1642895396395> AngelCodeFont failed to load page 0 texture Y:/SteamLibrary/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1642895396414> AngelCodeFont failed to load page 0 texture Y:/SteamLibrary/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1642895396472> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1642895396473> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1642895396474> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1642895396475> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1642895396489> AngelCodeFont failed to load page 0 texture Y:/SteamLibrary/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1642895396552> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1642895397513> Loading networking libraries...
LOG  : General     , 1642895397514> Loading steam_api64...
LOG  : General     , 1642895397548> Loading RakNet64...
LOG  : General     , 1642895397677> Loading ZNetJNI64...
LOG  : General     , 1642895397861> 1642895397861 znet: ZNet loaded
LOG  : General     , 1642895397863> 1642895397863 znet: Compiled with SERVER_STEAMAPI == 0
LOG  : General     , 1642895397863> 1642895397863 znet: Starting with bServer == false
LOG  : General     , 1642895397863> 1642895397863 znet: SteamAPI initialised successfully
LOG  : General     , 1642895397864> SteamUtils initialised successfully
LOG  : General     , 1642895398021> 1642895398020 znet: Java_zombie_core_znet_SteamWorkshop_n_1Init
LOG  : General     , 1642895400618> 1642895400618 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetInstalledItemFolders
LOG  : Mod         , 1642895401274> refusing to list examplemod
LOG  : Mod         , 1642895401316> loading bcUtils
LOG  : Mod         , 1642895401346> loading bcFineTune
LOG  : Mod         , 1642895401348> loading tsarslib
LOG  : Mod         , 1642895401366> mod "tsarslib" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1642895401367> mod "tsarslib" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1642895401367> mod "tsarslib" overrides media/lua/shared/translate/de/itemname_de.txt
LOG  : Mod         , 1642895401367> mod "tsarslib" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1642895401367> mod "tsarslib" overrides media/lua/shared/translate/de/tooltip_de.txt
LOG  : Mod         , 1642895401368> mod "tsarslib" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1642895401368> mod "tsarslib" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1642895401369> mod "tsarslib" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1642895401369> mod "tsarslib" overrides media/lua/shared/translate/en/recipes_en.txt
